local,filename,path,falha,tamanho
21D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,2.22
21E,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.01
22B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.88
22B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.01
22B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.84
22B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.93
22B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.91
22B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.89
22B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.7
22B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.6
22B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.44
22B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.06
22B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.51
22B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.36
22B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.49
22B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.12
22B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.71
22B,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.4
22D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.48
22D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,1.24
22D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.63
22D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.76
22D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.26
22D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.37
22D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.48
22D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.75
22D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.44
22D,BR220804S06H09YJ0055.jpg,images_folder/BR220804S06H09YJ0055.jpg,Solda fria,0.54
