local,filename,path,falha,tamanho,tempo
13E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.54
13F,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Trinca,3.17
14A,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,9.74
16A,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.5
16A,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Outros,0.6
16A,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Trinca,0.57
16E,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,2.66
18F,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,1.9
19A,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.4
20C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,1.11
20C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.84
20F,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.32
21A,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Trinca,0.36
21B,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.72
21B,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.8
21C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.8
21C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.92
21C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,1.03
21C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.66
21C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.72
21C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.54
21C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.46
21C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.93
21D,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.78
22C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.36
22C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.46
22C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.92
22C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.58
22C,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,0.53
23B,BR220728S06H09YC0019 copy 2.jpg,images_folder/BR220728S06H09YC0019 copy 2.jpg,Solda fria,1.51
2C,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,Solda fria,0.72
4E,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,Solda fria,2.93
20A,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,Solda fria,0.37
20E,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,Solda fria,0.27
22B,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,Solda fria,1.18
2C,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,Solda fria,0.72
4E,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,Solda fria,2.93
20A,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,Solda fria,0.37
20E,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,Solda fria,0.27
22B,BR220728S06H09YA0199.jpg,images_folder/BR220728S06H09YA0199.jpg,Solda fria,1.18
